"English","Japanese"
"online shopping","オンラインショッピング"
"food delivery service","フードデリバリーサービス"
"an online meeting","オンライン会議"
"cashless payment","キャッシュレス決済"
"charge a battery","バッテリーを充電する"
"shoot a video","動画を撮影する"
"edit a video","動画を編集する"
"post a video","動画を投稿する"
"get directions","道順を調べる"
"read an e-book","電子書籍を読む"
"track an order","注文を追跡する"
"check the reviews","レビューを確認する"
"send a text message","テキストメッセージを送る"
"watch a live stream","ライブ配信を見る"
"listen to music online","オンラインで音楽を聴く"
"subscribe to","～を購読する"
"install an app","アプリをインストールする"
"a multifunctional device","多機能なデバイス"
"a smart device","スマートデバイス"
"an electric vehicle","電気自動車"
"a vaccine","ワクチン"
"an outbreak","発生、勃発"
"a wildfire","山火事"
"a drought","干ばつ"
"a heat wave","熱波"
"extinction","絶滅"
"a poverty problem","貧困問題"
"the digital divide","デジタルデバイド（情報格差）"
"cyberspace","サイバースペース"
"cybersecurity","サイバーセキュリティ"
"cyberattacks","サイバー攻撃"
"cyberbullying","ネットいじめ"
"information technology","情報技術"
"the reliability of the data","データの信頼性"
"a computer virus","コンピュータウイルス"
"antivirus software","ウイルス対策ソフト"
"a victim of cybercrime","サイバー犯罪の被害者"
"be infected with a virus","ウイルスに感染する"
"protect personal information","個人情報を保護する"
"get addicted to one's smartphone","スマートフォンに依存する"
"a mother tongue","母語"
"a native language","母国語"
"an official language","公用語"
"a common language","共通言語"
"a first language","第一言語"
"a second language","第二言語"
"a native speaker","ネイティブスピーカー"
"a non-native speaker","非ネイティブスピーカー"
"a cultural background","文化的背景"
"monolingual","モノリンガル（一言語話者）"
"bilingual","バイリンガル（二言語話者）"
"a dialect","方言"
"slang","スラング"
"a gesture","ジェスチャー"
"memorize words","単語を記憶する"
"be exposed to English","英語に触れる"
"brush up one's English","英語をやり直す"
"watch a TV drama from abroad","海外のテレビドラマを見る"
"watch an English-language program","英語の番組を見る"
"experience culture shock","カルチャーショックを経験する"
"enjoy oneself","楽しむ"
"motivate oneself","自分自身をやる気にさせる"
"have fun","楽しむ"
"get satisfaction from","～から満足感を得る"
"spend time with","～と時間を過ごす"
"get allowance","お小遣いをもらう"
"improve one's grades","成績を上げる"
"be under stress","ストレスを感じている"
"reduce stress","ストレスを軽減する"
"feel relaxed","リラックスする"
"have peace of mind","安心する"
"be free from anxiety","不安がない"
"fulfill one's potential","潜在能力を発揮する"
"do good for","～のためになる"
"raise one's spilits","～を元気づける"
"reward someone for","～のことで（人）に褒美をあげる"
"make friends with","～と友達になる"
"form a close firendship with","～と親しい友情を築く"
"encounter a childhood friend","幼なじみに偶然出会う"
"be pleased with oneself","自己満足する"